PROVINSI;TAHUN;KEJADIAN BANJIR;RUSAK BERAT;RUSAK SEDANG;RUSAK RINGAN;TERENDAM;CURAH HUJAN;HARI HUJAN
Sulawesi Selatan;2013;24;14;2;289;36.515;3.973;213
Sulawesi Tenggara;2013;18;2;656;8.131;7.450;2.619;206
Gorontalo;2013;13;16;60;117;11.675;1.775;207
Sulawesi Barat;2013;9;453;13;1.412;4;1.682;198
Maluku;2013;5;523;30;0;1.065;;
Maluku Utara;2013;2;0;0;0;0;2.713;215
Papua Barat;2013;2;9;0;0;70;3.419;251
Papua;2013;12;70;1;36;6.147;4.033;251
Aceh;2014;37;72;67;123;40.143;2.264;142
Sumatera Utara;2014;20;16;7;3;10.375;2.148;200
Sumatera Barat;2014;14;31;30;52;5.585;2.838;163
Riau;2014;12;0;0;0;18.800;2.344;188
Jambi;2014;17;1;0;0;5.363;1.781;199
Sumatera Selatan;2014;32;4;0;0;23.992;1.668;176
Bengkulu;2014;9;92;6;149;919;3.323;174
Lampung;2014;18;27;34;23;6.209;1.683;178
Kepulauan Bangka Belitung;2014;1;0;0;0;74;1.675;179
Kepulauan Riau;2014;4;8;0;59;8;3.064;174
DKI Jakarta;2014;18;0;0;0;25.163;2.908;157
Jawa Barat;2014;124;1.001;130;416;176.827;2.388;226
Jawa Tengah;2014;74;134;41;1.928;97.310;2.628;187
DI Yogyakarta;2014;1;0;0;0;0;2.026;160
Jawa Timur;2014;76;40;14;1.318;38.576;1.980;154
Banten;2014;15;5;4;28;10.730;1.521;176
Bali;2014;4;15;2;1;5;1.641;160
Nusa Tenggara Barat;2014;4;1;0;0;970;1.564;106
Nusa Tenggara Timur;2014;10;16;0;25;1.363;1.416;103
Kalimantan Barat;2014;3;0;0;0;192;2.755;217
Kalimantan Tengah;2014;7;0;0;0;4.820;2.854;175
Kalimantan Selatan;2014;7;21;0;39;14.153;2.371;221
Kalimantan Timur;2014;15;45;0;1;5.886;2.422;146
Kalimantan Utara;2014;2;15;0;0;2.000;2.655;217
